Gene.symbol	Gene.ID	adj.P.Val	logFC
MSRB3	253827	7.19083325858924e-07	3.76966463527778
BEST1	7439	7.30328603837468e-07	-2.48952390588889
IARS	3376	8.11317215616774e-07	2.02886061877778
SASH1	23328	8.11317215616774e-07	-2.62514910627778
		8.11317215616774e-07	2.25725276088889
TNFSF12-TNFSF13///TNFSF12///TNFSF13	407977///8742///8741	8.73326197031187e-07	-1.92683946611111
CDC45	8318	8.95468831161427e-07	2.76400386211111
ADAMTS5	11096	9.30150688566419e-07	-1.64435790188889
CD69	969	9.49304286660022e-07	4.50643229633334
LRRC75A-AS1	125144	9.64444887496085e-07	1.42141665255555
LOC81691	81691	9.98400173275823e-07	2.43752076077778
HELLS	3070	1.00746725985672e-06	3.28466200383334
FOLR3	2352	1.02402109815755e-06	-2.72698097366667
CDA	978	1.06700903823026e-06	-3.71651624355556
ASGR1	432	1.07988022979253e-06	-1.48211336983333
RPSAP36///RPSAP19///RPSAP9///RPSAP58///RPSAP15///RPSAP52///RPSA	100128888///730029///653162///388524///220885///204010///3921	1.11570945883413e-06	1.3725596255
		1.12891873083272e-06	2.14775723472222
CENPK	64105	1.22060997938506e-06	3.28427861038889
C12orf57///C12orf57	113246///113246	1.24760218973118e-06	1.66378211544445
		1.24760218973118e-06	1.73810923027778
		1.25755089333985e-06	-2.58283813522222
PPFIBP2	8495	1.25755089333985e-06	-2.37463873755556
HNMT	3176	1.27052539860596e-06	-3.28372489738889
IMPDH2	3615	1.27052539860596e-06	1.86226555094444
ST6GALNAC3	256435	1.27052539860596e-06	-2.65768887233333
C5AR2	27202	1.29264434261775e-06	-2.78286210105556
PELI3	246330	1.30731818099912e-06	-1.38459479572222
RAB11FIP4	84440	1.30731818099912e-06	-1.79255372233333
MYCL	4610	1.40576693272561e-06	-2.42670866011111
RHOH	399	1.42749235620377e-06	2.98104838572222
RAB39A	54734	1.42749235620377e-06	-2.59696452888889
MACF1	23499	1.52849988406172e-06	1.41082113672222
		1.5389002129004e-06	2.32302616283334
HSPD1	3329	1.53940407712655e-06	1.48318565788889
HIST1H3D///HIST1H2AD	8351///3013	1.53940407712655e-06	2.60310472766667
SLCO3A1///SLCO3A1	28232///28232	1.54776822457921e-06	-1.51988762477778
KCNE1	3753	1.57221361921689e-06	-1.86777970194444
CENPJ	55835	1.68597561621883e-06	2.12521386
NFAM1	150372	1.68597561621883e-06	-2.50554541122222
GUCY1A3	2982	1.68597561621883e-06	4.24003670511111
ITGA6	3655	1.78368931493138e-06	4.047332478
HFE	3077	1.82410552170701e-06	-1.80325297961111
PARP1	142	1.89785234567782e-06	1.68687818833333
SIN3B	23309	1.95852583592432e-06	-1.00704146383334
EBPL	84650	1.95852583592432e-06	1.86515692511111
		2.01946289928607e-06	-2.01369941405556
CLEC4D	338339	2.06026810664865e-06	-4.07871456777778
LIPN	643418	2.12504827790459e-06	-3.61306986438889
LOC642846///DDX12P///DDX11	642846///440081///1663	2.26250369793359e-06	1.88064145305556
NPM1	4869	2.28128161462837e-06	1.79437231016667
NCAPG	64151	2.29370446383916e-06	3.82096161161111
PCNA	5111	2.29370446383916e-06	2.38893859466667
CASP5	838	2.29370446383916e-06	-2.27056772755555
GPR137B	7107	2.29370446383916e-06	-2.28531330966667
SECTM1	6398	2.32184171031462e-06	-3.59728275555556
DAGLA	747	2.3595993988948e-06	-1.43547257477778
NPM1	4869	2.36185892411148e-06	1.80518851033333
HIST1H3H///HIST1H2AI	8357///8329	2.36185892411148e-06	3.35676472144444
AMPD2	271	2.37144395775472e-06	-1.22661741866667
NHSL2	340527	2.38536117565588e-06	-2.52300885533334
FANCI	55215	2.38536117565588e-06	2.92098366988889
GPR155	151556	2.38536117565588e-06	-2.92935460177778
PPT2-EGFL8///EGFL8///PPT2	100532746///80864///9374	2.42370727149358e-06	2.03449258177778
EPDR1	54749	2.50343872119033e-06	2.70270468861111
TEC	7006	2.50343872119033e-06	2.44193525727778
PM20D2	135293	2.50376425207869e-06	2.26758497438889
MCM4	4173	2.50376425207869e-06	2.47478789272223
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	2.50376425207869e-06	3.4125293055
CDC123	8872	2.5151054405474e-06	1.03766145961111
		2.53696474006789e-06	2.41807123844444
CCT7	10574	2.53696474006789e-06	1.57572728511111
CAMSAP2	23271	2.59123159257066e-06	-1.94027417494445
NUCB2	4925	2.61239098961908e-06	2.40271716711111
SNORD78	692198	2.64483793597417e-06	2.45916389127778
RNASE4///ANG	6038///283	2.67133520837651e-06	-2.54737313427778
LINC00189	193629	2.67752520337794e-06	-2.37716142566667
RPS18P9///RPS18	645958///6222	2.75018587430974e-06	1.11845485655555
PADI2	11240	2.8158647607733e-06	-2.6461235545
CEP128	145508	3.06169642086371e-06	2.165955326
HIST1H3I	8354	3.11449273907691e-06	2.93911208433333
TMEM154	201799	3.15534579589816e-06	-2.88410021405556
LILRA6	79168	3.23351927503177e-06	-3.55564411438889
IL15	3600	3.27806925342009e-06	-2.16117913266667
PRC1	9055	3.27806925342009e-06	3.08456874272222
EVI5	7813	3.39411233992529e-06	-2.4244792375
ZC3HAV1L	92092	3.405299424791e-06	3.02598226244445
		3.43142765027842e-06	1.15590832055556
ITM2C	81618	3.43142765027842e-06	2.85969330894445
SUV39H2	79723	3.44281217482245e-06	2.25209629022222
ATP2A3	489	3.6236558399268e-06	1.66695726694445
GPATCH4	54865	3.63369460321903e-06	1.27721278572222
VNN3	55350	3.72147861148165e-06	-3.16004723333334
SEPT11	55752	3.78104999628596e-06	2.40168840561111
MYO18A///TIAF1	399687///9220	3.80393866352421e-06	1.04110758572222
WARS	7453	3.83337704644931e-06	-2.06858881427778
XRCC2	7516	3.88327528102481e-06	3.05745873338889
ZNF367	195828	3.94610663652163e-06	2.02199352138889
NUAK2	81788	4.03112833452325e-06	-2.49776437311111
UNG	7374	4.05055977220146e-06	1.96285554522222
MDN1	23195	4.16374348851803e-06	1.75850125438889
SIRPD	128646	4.31454451115373e-06	-2.70907114666667
MSH2	4436	4.38137769320439e-06	2.53531058711111
TPX2	22974	4.45473796821682e-06	3.73660732111111
LILRA3	11026	4.47593701402629e-06	-4.34274282038889
ARHGAP27	201176	4.5327444465287e-06	-1.46780935183334
		4.55400332814013e-06	-1.51511784916667
CRISPLD2	83716	4.65876218983823e-06	-3.39407965133334
CCNY	219771	4.80364838870214e-06	-1.29631892861111
MAD2L1	4085	4.80364838870214e-06	3.18526215483333
KCNJ2	3759	4.80675065390648e-06	-2.11019812266667
SLC27A2	11001	4.81350382805379e-06	3.85462934044444
		5.10667714749736e-06	1.43371804222222
STK38	11329	5.11187303415888e-06	-1.70925332233333
TSEN34	79042	5.11187303415888e-06	-1.06377144894445
TPCN1	53373	5.11187303415888e-06	-1.99498892633334
LOC100996763///NOTCH2NL///NOTCH2	100996763///388677///4853	5.11187303415888e-06	-1.28146824005555
CLEC4E	26253	5.22430625246708e-06	-4.97631002577778
WDHD1	11169	5.22430625246708e-06	3.08012011938889
PRKCQ	5588	5.32218771767932e-06	2.72647132333333
TFDP2	7029	5.36999021763572e-06	3.4662966095
FUBP1	8880	5.36999021763572e-06	0.988427555166668
KCNQ5	56479	5.36999021763572e-06	3.36405796322222
		5.47883617666326e-06	2.09943847088889
C2CD2L	9854	5.47883617666326e-06	-1.41666445411111
TMBIM4///TMBIM4	51643///51643	5.53013064960908e-06	-0.975899979944442
RPS3	6188	5.5402919503159e-06	0.830745262777775
GIMAP7	168537	5.55089324888707e-06	-3.82662645755556
CTPS2	56474	5.57549120359683e-06	1.77554788594444
RPH3A	22895	5.5857776538501e-06	-1.61185586038889
TSHZ3	57616	5.63920645699054e-06	-3.07867751194444
NUCKS1	64710	5.74587884796549e-06	1.48171646338889
ASPHD2	57168	5.74587884796549e-06	-1.77310253105556
SCCPDH	51097	5.78183437343868e-06	1.91627283738889
LIG1	3978	5.78183437343868e-06	1.31313379927778
STRBP	55342	5.84861442214595e-06	2.588300231
		5.84861442214595e-06	2.03765195233333
		5.90599231941827e-06	3.17178995477778
LOC100996333///ADGRA3	100996333///166647	5.90599231941827e-06	3.7378062085
USP11	8237	5.90599231941827e-06	1.47101521972222
SEPT10	151011	5.95711522683158e-06	-2.104588529
FAM151B	167555	6.07159799661378e-06	-2.13618982305556
BLM	641	6.07651836755532e-06	2.31323607233333
ATIC	471	6.07651836755532e-06	1.8745917785
P2RX7	5027	6.17543542288185e-06	-2.25059421388889
IFT122	55764	6.23831007757384e-06	1.24949955194445
CENPF	1063	6.36175658132267e-06	3.48458679733333
SUMO1P1	391257	6.36175658132267e-06	-1.30466763822222
PILRA	29992	6.36175658132267e-06	-3.35345641283333
TCIRG1	10312	6.36175658132267e-06	-1.39500988088889
		6.36822737237406e-06	1.55822445544445
		6.47037676391261e-06	2.03783852105556
PFAS	5198	6.4774484427925e-06	1.32294675711111
GLT1D1	144423	6.51627896607015e-06	-4.40779002066667
ATP8B4	79895	6.51627896607015e-06	2.74199746588889
		6.51627896607015e-06	2.487894844
DHX57	90957	6.70970746127585e-06	-1.29998370883333
TMOD2	29767	6.95066223337219e-06	-2.78569100355556
HPSE	10855	7.28395013597188e-06	-3.22122181916667
ADAP1	11033	7.61148415198242e-06	-2.155670516
NAT10	55226	7.63655528717074e-06	1.409737232
C9orf106	414318	7.98634651233288e-06	-1.3495840945
HPRT1	3251	7.98634651233288e-06	1.15778540855556
SMPDL3A	10924	8.0797249723512e-06	-3.35107487722222
SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12	85028///692073///677838///677825///85028	8.0797249723512e-06	2.43594780777777
CYP1B1	1545	8.13038899372664e-06	-4.96931965811111
KRT23	25984	8.13038899372664e-06	-1.93461993827778
CASP1	834	8.13038899372664e-06	-2.51163860483333
CTPS1	1503	8.196852977011e-06	1.64588422194444
NME1-NME2///NME1	654364///4830	8.29092375215682e-06	2.22758180405556
GART	2618	8.32919302565335e-06	1.34368774566666
APOA2	336	8.32919302565335e-06	-1.56812830944444
ISYNA1	51477	8.32919302565335e-06	2.30652586105555
BUB1B	701	8.32919302565335e-06	3.15592939161111
LOC653653///AP1S2	653653///8905	8.37784887919334e-06	-3.05587238783333
		8.42355465917434e-06	1.41678691666667
		8.50996906435907e-06	-1.62514091894445
CCZ1B///CCZ1	221960///51622	8.67239683434493e-06	-1.48702745738889
TIRAP	114609	8.76330899956997e-06	-1.75498106305556
POLA1	5422	8.80764479364086e-06	1.82952873022222
ZNF652	22834	8.89703334764066e-06	-1.36271895483334
IPMK	253430	8.90171056296053e-06	-1.80600592183333
MDC1	9656	8.92457518275867e-06	1.48076697666667
ULK2	9706	8.92457518275867e-06	-1.9016305655
SEMA4B	10509	8.92457518275867e-06	-1.32796642844444
		8.92457518275867e-06	-1.86140292455555
TBC1D30	23329	8.93762073480715e-06	-1.04813874088889
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	9.31877776736694e-06	3.40021228583333
CDH23	64072	9.31877776736694e-06	-1.367811793
BCKDHB	594	9.55924866077063e-06	2.08964848472223
TBL1X	6907	9.84980804561969e-06	-2.05036234955556
BCL10	8915	1.0181015337081e-05	-1.00739282772222
GNL3	26354	1.03814400702216e-05	1.39355703216667
CCT2	10576	1.04049562722595e-05	1.70287847422222
GMNN	51053	1.05447666413966e-05	2.05593821455555
SCO2	9997	1.05447666413966e-05	-1.52801927033333
PDP1	54704	1.07062806346888e-05	-1.82829589716667
MYO10	4651	1.07172958230505e-05	-1.02210050577778
WEE1	7465	1.08585093943739e-05	2.469162817
BRCA2	675	1.10110423652077e-05	2.10931429822222
BRIP1	83990	1.10110423652077e-05	3.15714415477778
HIST1H2BM	8342	1.10966873559283e-05	4.14459881827778
NRBF2	29982	1.11503467397365e-05	-1.02885768405556
ASAH1	427	1.11606896645453e-05	-1.60022358155556
CPPED1	55313	1.12481851069355e-05	-2.192286513
		1.15583053237315e-05	-2.89805549483333
LILRB2	10288	1.15583053237315e-05	-3.58188852905556
NPC2	10577	1.15583053237315e-05	-1.82775902516667
ZRANB2	9406	1.16459245590971e-05	1.10086273933334
FAM46C	54855	1.17729531865409e-05	3.43424889411111
SCML2	10389	1.17729531865409e-05	3.19492467666667
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	645784///400986///375248///57730	1.17729531865409e-05	2.40403892438889
		1.17729531865409e-05	0.74413842111111
ODC1	4953	1.17729531865409e-05	1.60262940288889
SNORD52	26797	1.19882528551233e-05	2.71197277811111
LOC254896///TNFRSF10C	254896///8794	1.19882528551233e-05	-2.39287565183333
		1.24704795114003e-05	1.98788473561111
SNORD15A	6079	1.25912845964335e-05	1.42138994161111
		1.2809371392794e-05	-2.13009754372222
		1.29357863055564e-05	2.40845811672223
PECR	55825	1.30685706228714e-05	-1.93547387405556
HSP90AA1	3320	1.30998178996323e-05	1.13969976805556
		1.31200601462116e-05	1.866674074
ECE1	1889	1.31200601462116e-05	-2.27894019972222
MCM10	55388	1.31200601462116e-05	2.52802152505556
		1.31200601462116e-05	-0.997929736222223
LILRA2	11027	1.32245119714397e-05	-3.39960146694445
HIST2H4B///HIST2H4A	554313///8370	1.32284766985722e-05	3.16858176855556
SMC4	10051	1.33864345896384e-05	2.29676294977778
WHSC1	7468	1.34632854135777e-05	1.27049894677778
CCNE2	9134	1.38583996415034e-05	3.1768139845
NFATC2///NFATC2	4773///4773	1.40435762052871e-05	2.46740248566667
ATP8B2	57198	1.4098986375287e-05	2.09311644433334
KIAA0513	9764	1.41919829761155e-05	-2.47079911994445
TARP	445347	1.43936720614037e-05	4.85802958872222
RCVRN	5957	1.44918796194371e-05	-1.69874195916667
		1.46129112798552e-05	1.79884529572222
CTSO	1519	1.48760959095238e-05	-1.54627720694444
APOL6	80830	1.48760959095238e-05	-1.46021270511111
SIDT2	51092	1.48760959095238e-05	-1.7192726985
LILRA6	79168	1.50411585180942e-05	-3.11746409633334
LACTB	114294	1.50782169758613e-05	-1.67046037916667
SLC39A8	64116	1.51366642450081e-05	2.04269955083333
HIST1H3H	8357	1.52043609807277e-05	2.84141038905556
LILRA5	353514	1.53533280362836e-05	-4.26813110355556
		1.56627493837412e-05	-2.4043560865
		1.56627493837412e-05	-1.88301398477778
RARA///BCOR	5914///54880	1.57449391205234e-05	-1.79332909566667
FANCG	2189	1.60404108825465e-05	1.11908792261111
FMO5	2330	1.63736726711304e-05	-1.97884518261111
ASNS	440	1.69458125211134e-05	2.17819681783334
SERPINA1	5265	1.70433428655059e-05	-3.58858197027778
PLK4	10733	1.73472246242049e-05	2.92810661022222
OSCAR	126014	1.74804628131386e-05	-1.45767862111111
ZNF587	84914	1.78051017651184e-05	1.13125595138889
		1.78894933738809e-05	-1.61758412083333
ITM2B///ITM2B	9445///9445	1.80473081196968e-05	-1.28951378983333
STX11	8676	1.84380732247418e-05	-3.13188718577778
LIN7A	8825	1.84380732247418e-05	-3.12821229127778
GNGT2	2793	1.84742484213047e-05	-1.41462672555556
SMCO4	56935	1.92965991115894e-05	-2.85672023522222
FZD1	8321	1.93403084610357e-05	-1.53679437022222
ITM2A	9452	1.93403084610357e-05	3.80075720372222
MKI67	4288	1.93403084610357e-05	3.70498392711111
YES1	7525	1.93403084610357e-05	3.38189851272222
		1.93802672145674e-05	-1.59405181466667
DEF8	54849	1.94229240774549e-05	-1.38001219188889
NUF2	83540	2.00161018649085e-05	3.08815678516667
CPSF6	11052	2.01172529402488e-05	1.354757712
RPL12	6136	2.01172529402488e-05	0.932753413333336
CMIP	80790	2.01172529402488e-05	-1.18307202638889
RAN	5901	2.04114677465289e-05	1.14070995294444
STX3	6809	2.10157676566274e-05	-1.48631330311111
CATSPER2	117155	2.10157676566274e-05	1.20346513522222
GAA	2548	2.14873598352461e-05	-1.50331846605556
FCAR	2204	2.15287131758261e-05	-3.70062255511111
CHAF1B	8208	2.15568200379788e-05	2.50877163444445
CLEC4G	339390	2.19341342278444e-05	-1.23305911616667
CAD	790	2.19341342278444e-05	1.50771264016667
C10orf131	100127889	2.19341342278444e-05	-0.744221984722223
EIF5B	9669	2.19518682008404e-05	1.31355557266667
ARAP3	64411	2.19518682008404e-05	-1.6335838875
SCLT1	132320	2.19518682008404e-05	-1.41050173961111
CIT	11113	2.19518682008404e-05	2.86049170816667
MCM7	4176	2.21797375746471e-05	1.9187917595
GSTCD	79807	2.25809626152829e-05	1.56517920905556
		2.29745788201161e-05	-2.4189048325
NPR3	4883	2.29745788201161e-05	4.44652740705556
LY96	23643	2.3322676488605e-05	-4.02800096983333
DDX58	23586	2.3433285342038e-05	-1.73079465233333
C5orf42	65250	2.35063075146274e-05	1.6461165935
LILRA1	11024	2.35280319432163e-05	-3.85170557038889
NOTCH2	4853	2.35280319432163e-05	-1.51616678155555
GSAP	54103	2.35773251718449e-05	-1.87158888638889
SUPT16H	11198	2.36290000537006e-05	1.35703741066666
MAN1C1	57134	2.36412438607781e-05	-1.46844024905555
SPTBN1	6711	2.36675044952921e-05	1.92225105783334
S100A12	6283	2.36675044952921e-05	-5.51690073361111
TLR5	7100	2.36675044952921e-05	-3.50299645827778
SAT2	112483	2.38814997920253e-05	-1.5105334285
ADAM19	8728	2.38814997920253e-05	-2.21689278827778
SIGLEC5	8778	2.38846616748458e-05	-1.78811112866667
MBD2	8932	2.41573020392533e-05	-1.20885580933333
SRD5A1	6715	2.42299886274445e-05	-1.83737225894445
SNORD75	692195	2.44972670164931e-05	2.41924460483333
KIAA1551	55196	2.44977931047114e-05	-1.44629107599999
		2.44977931047114e-05	1.83136083388889
PPAT	5471	2.46304070221979e-05	2.00091309444445
		2.47448693399955e-05	0.926911662777774
		2.51711303361937e-05	-1.27636303966667
CAMKK2	10645	2.51869126341904e-05	-1.262120019
TIAM1	7074	2.53401103237382e-05	-3.44824431761111
ABCD1	215	2.53401103237382e-05	-1.42127470222223
MINK1	50488	2.57651546620897e-05	-1.52957468072222
SLC2A5	6518	2.63043209103597e-05	2.54879562177778
MTBP	27085	2.63732216270442e-05	1.82744475455556
		2.63732216270442e-05	2.11788582383333
		2.6448871929282e-05	2.0843064925
SIRPA	140885	2.65288196782481e-05	-1.71490426538889
C9orf47///S1PR3	286223///1903	2.68355531503399e-05	-2.29094306961111
C3	718	2.69779819245886e-05	-1.63313177316667
LINC01599	196913	2.6978505955623e-05	-1.19254059133334
MECR	51102	2.74395789998299e-05	1.20080747038889
PNPLA1	285848	2.74395789998299e-05	-1.015770264
RRM2	6241	2.74395789998299e-05	2.90392585344445
GDPD3	79153	2.74655382809395e-05	-1.9752592755
APPL1	26060	2.74655382809395e-05	0.802689304666664
RCC1///SNHG3///RCC1	1104///8420///1104	2.74655382809395e-05	1.38118966416667
IFT80	57560	2.78136211763725e-05	2.44517407327778
THEMIS2	9473	2.78854677328702e-05	-2.30870915994444
SIGLEC7	27036	2.78854677328702e-05	-2.68900607166667
CEP85L	387119	2.78864594928717e-05	-2.09279322438889
MTHFD1	4522	2.79679828837299e-05	1.8640263965
RNF144A	9781	2.81777920710954e-05	2.31241793644445
CARMIL2	146206	2.82159066169715e-05	1.14942646472222
HIST1H2AC	8334	2.82159066169715e-05	2.25101088811111
RPSAP36///RPSAP19///RPSAP9///RPSAP58///RPSAP15///RPSA	100128888///730029///653162///388524///220885///3921	2.82159066169715e-05	1.2996119755
		2.85464842937234e-05	2.10888751033333
MFGE8	4240	2.86985336974628e-05	1.90423060644444
GNS	2799	2.88468566636315e-05	-1.85166914672222
B3GALNT1	8706	2.91501068904491e-05	2.21272978222222
		2.92249891726028e-05	1.91061702633333
PLA2G4C	8605	2.94057536298547e-05	-1.11340489161111
DCTPP1	79077	2.98150190378675e-05	1.60294485261111
LILRB3	11025	3.00113804059916e-05	-3.54768773194445
BORCS7-ASMT///BORCS7	100528007///119032	3.06690131817912e-05	-1.27491968144444
RASSF5	83593	3.07002281911144e-05	-1.29172188227778
TOP2A	7153	3.07904173336193e-05	3.97247918261111
CFLAR	8837	3.12135916078917e-05	-1.27633214327778
RNF13	11342	3.14118120622394e-05	-1.36401665277778
PCM1	5108	3.14118120622394e-05	0.974613785222221
HNRNPAB	3182	3.14118120622394e-05	1.171986542
DLEU1	10301	3.14570431946771e-05	2.54408704377778
INPP4B	8821	3.20536389182035e-05	3.53394173377778
CDT1	81620	3.23188621576086e-05	1.77451014161111
TP53BP1	7158	3.23188621576086e-05	1.63984565683333
FANCD2	2177	3.26122087109918e-05	2.21640745288889
CD1D	912	3.26122087109918e-05	-3.07435987461111
		3.27554640435824e-05	1.47715809383333
G3BP1	10146	3.27866232403641e-05	1.33008778605556
KIAA0040	9674	3.31848911493231e-05	-2.06415877894444
TSPAN13	27075	3.31848911493231e-05	3.32920683405556
		3.31848911493231e-05	1.98321299222222
		3.31848911493231e-05	-1.50374866122222
OVOS///OVOS2	408186///144203	3.31937044625509e-05	2.84148055344444
STARD10	10809	3.32089811503494e-05	-0.852648024833336
RBM19	9904	3.3223789016651e-05	0.690815132277777
KDELC2	143888	3.3223789016651e-05	2.43704638661111
GOLGA8R///GOLGA8O///GOLGA8N	101059918///728047///643699	3.35292526989843e-05	2.39552818461111
YARS	8565	3.36064505800738e-05	0.926835652166671
STK26	51765	3.36064505800738e-05	1.50079901111111
GSAP	54103	3.36781948299909e-05	-2.34789510055555
MPO	4353	3.42804808446737e-05	4.76807339166667
		3.45681241319149e-05	0.751060402777778
PRKDC	5591	3.49387641893335e-05	1.42983872961111
ZNF587B///ZNF814	100293516///730051	3.49387641893335e-05	1.61776086288889
		3.51494319660185e-05	-1.4790919725
HLTF	6596	3.53304857079249e-05	2.32631589044444
TFPI	7035	3.53304857079249e-05	4.09467084983333
HSPA1L	3305	3.53304857079249e-05	-1.54199763516667
NPR3	4883	3.53304857079249e-05	4.26849268044444
CPAMD8	27151	3.53304857079249e-05	-1.311954845
SCML1	6322	3.5839022509906e-05	-2.16211006077778
DKC1	1736	3.60734266816518e-05	1.28333183916666
SPOCK1	6695	3.61048007231535e-05	-0.872268744722222
USP53	54532	3.61169369348874e-05	2.83820948611111
		3.61169369348874e-05	2.24868616233333
GPR65	8477	3.64855948110731e-05	-3.16218438583333
SLC17A9	63910	3.66548908646101e-05	1.40819718533333
DEPDC1B	55789	3.69963186457633e-05	2.27896371744444
HORMAD1	84072	3.69963186457633e-05	-2.97019747816667
NIPSNAP3B	55335	3.71335632678985e-05	1.93796693794444
AZI2	64343	3.72985194907682e-05	-1.62544924861111
ALDH5A1	7915	3.72985194907682e-05	1.9639822035
ATP6V1B2	526	3.76529151774648e-05	-1.14948546244445
PPM1M	132160	3.76529151774648e-05	-1.68766165194445
IRAK3	11213	3.77864859241727e-05	-1.248864037
KCTD11	147040	3.79642759000075e-05	-1.03954669394445
TFEB	7942	3.79642759000075e-05	-1.79537866705556
KMO	8564	3.79642759000075e-05	-2.48261402622222
UTS2	10911	3.85007590139553e-05	-1.88707454427778
ANO6	196527	3.85007590139553e-05	-1.11496888094444
